,A.0_ID flood wave shape,discount rate 0,EWS_DaysToThreat,scenario,policy,model,RfR Total Costs,Expected Evacuation Costs,Dike ring,Bmax,Brate,pfail,RfR 0,DikeIncrease 0,Dike Investment Costs,Expected Annual Damage,Expected Number of Deaths,num_of_events
112,20,3.5,4,12,GEL_OP_v1(0),dikesnet,205800000.0,329.1876398448837,A.1,219.49934129974872,1.5,0.9075744153911772,1,4,47847947,0.0,0.0,108
113,30,1.5,4,13,GEL_OP_v1(0),dikesnet,205800000.0,5054.899302608296,A.1,312.95273057438135,1.5,0.6602960265402325,1,4,47847947,0.0,0.0,108
114,124,2.5,4,14,GEL_OP_v1(0),dikesnet,205800000.0,18308.046605514886,A.1,203.13473499410958,10.0,0.5553930862478342,1,4,47847947,0.0,0.0,108
115,23,4.5,4,15,GEL_OP_v1(0),dikesnet,205800000.0,3777.077755514208,A.1,258.4775993102128,1.5,0.8179309692599792,1,4,47847947,0.0,0.0,108
116,54,2.5,4,16,GEL_OP_v1(0),dikesnet,205800000.0,25058.596631981978,A.1,339.3141347935235,1.5,0.41385494493082053,1,4,47847947,0.0,0.0,108
117,116,4.5,4,17,GEL_OP_v1(0),dikesnet,205800000.0,1592.3893015715319,A.1,88.93774364183263,10.0,0.9180661167322387,1,4,47847947,0.0,0.0,108
118,129,1.5,4,18,GEL_OP_v1(0),dikesnet,205800000.0,13074.390896527319,A.1,154.48079372026504,1.0,0.18987239669111555,1,4,47847947,0.0,0.0,108
119,24,2.5,4,19,GEL_OP_v1(0),dikesnet,205800000.0,3127.4842745597916,A.1,132.04627487583514,10.0,0.8557633805976828,1,4,47847947,0.0,0.0,108
120,40,2.5,4,20,GEL_OP_v1(0),dikesnet,205800000.0,3839.811083893464,A.1,232.48761756808216,1.5,0.9825448764526127,1,4,47847947,0.0,0.0,108
121,32,4.5,4,21,GEL_OP_v1(0),dikesnet,205800000.0,919.8868898966036,A.1,291.4392411758599,1.5,0.6712057635918821,1,4,47847947,0.0,0.0,108
122,85,4.5,4,22,GEL_OP_v1(0),dikesnet,205800000.0,1450.7841097048895,A.1,262.1481879618071,10.0,0.07430755706210651,1,4,47847947,0.0,0.0,108
123,107,1.5,4,23,GEL_OP_v1(0),dikesnet,205800000.0,614.1623318228795,A.1,51.43675018900288,1.0,0.6140966967447871,1,4,47847947,0.0,0.0,108
124,5,4.5,4,24,GEL_OP_v1(0),dikesnet,205800000.0,39521.68925025616,A.1,136.68606006845678,10.0,0.7217970675113325,1,4,47847947,0.0,0.0,108
125,109,4.5,4,25,GEL_OP_v1(0),dikesnet,205800000.0,13685.66404202759,A.1,253.6822863220091,1.0,0.7431119327366681,1,4,47847947,0.0,0.0,108
126,89,4.5,4,26,GEL_OP_v1(0),dikesnet,205800000.0,2118.5640330144224,A.1,213.0947029233992,1.0,0.643264893578447,1,4,47847947,0.0,0.0,108
127,18,1.5,4,27,GEL_OP_v1(0),dikesnet,205800000.0,11221.597512534148,A.1,346.7856657941789,10.0,0.33226954836490996,1,4,47847947,0.0,0.0,108
128,44,4.5,4,28,GEL_OP_v1(0),dikesnet,205800000.0,16926.89808858042,A.1,121.96011519546303,1.5,0.5068248133723433,1,4,47847947,0.0,0.0,108
129,90,4.5,4,29,GEL_OP_v1(0),dikesnet,205800000.0,2410.403880305343,A.1,331.9483394870554,1.5,0.05618046774414109,1,4,47847947,1046846.542651305,0.00012099030902797895,108
130,3,1.5,4,30,GEL_OP_v1(0),dikesnet,205800000.0,1289.4231136960557,A.1,155.1505493299351,1.5,0.9556916964140137,1,4,47847947,0.0,0.0,108
131,127,4.5,4,31,GEL_OP_v1(0),dikesnet,205800000.0,5177.519726159751,A.1,64.779962788494,1.0,0.26232648232535105,1,4,47847947,0.0,0.0,108
132,93,2.5,4,32,GEL_OP_v1(0),dikesnet,205800000.0,20117.8525898464,A.1,182.83370761668667,10.0,0.9414201493200693,1,4,47847947,0.0,0.0,108
133,77,4.5,4,33,GEL_OP_v1(0),dikesnet,205800000.0,2442.984049324315,A.1,201.8051939953919,1.5,0.15678587592224594,1,4,47847947,0.0,0.0,108
134,115,3.5,4,34,GEL_OP_v1(0),dikesnet,205800000.0,814.3451503568933,A.1,230.83202815405934,10.0,0.37544404055674113,1,4,47847947,0.0,0.0,108
135,107,3.5,4,35,GEL_OP_v1(0),dikesnet,205800000.0,4344.434710469147,A.1,176.64484868367882,1.5,0.2786462994963519,1,4,47847947,0.0,0.0,108
136,19,2.5,4,36,GEL_OP_v1(0),dikesnet,205800000.0,623.3424888411381,A.1,322.2010597876879,1.5,0.8479443274767268,1,4,47847947,0.0,0.0,108
137,104,4.5,4,37,GEL_OP_v1(0),dikesnet,205800000.0,3522.3639005528894,A.1,36.79424230750966,1.0,0.1792917840075651,1,4,47847947,0.0,0.0,108
138,131,2.5,4,38,GEL_OP_v1(0),dikesnet,205800000.0,920.6660815663158,A.1,329.4146982161854,1.5,0.884234318974403,1,4,47847947,0.0,0.0,108
139,51,1.5,4,39,GEL_OP_v1(0),dikesnet,205800000.0,2058.8038917118756,A.1,254.28829574142893,10.0,0.20870673741464454,1,4,47847947,0.0,0.0,108
140,47,4.5,4,40,GEL_OP_v1(0),dikesnet,205800000.0,39587.32200537624,A.1,59.12379018838501,1.0,0.9954701103784404,1,4,47847947,0.0,0.0,108
141,122,2.5,4,41,GEL_OP_v1(0),dikesnet,205800000.0,2925.728404485324,A.1,206.35323640890113,1.5,0.7022107549943544,1,4,47847947,0.0,0.0,108
142,96,3.5,4,42,GEL_OP_v1(0),dikesnet,205800000.0,1036.7467215202303,A.1,44.322150822736944,1.0,0.5681087184530011,1,4,47847947,0.0,0.0,108
143,49,3.5,4,43,GEL_OP_v1(0),dikesnet,205800000.0,871.8791787337802,A.1,91.60149037915065,1.5,0.022366013918334135,1,4,47847947,30995487.809461083,0.0027527579382194078,108
144,37,1.5,4,44,GEL_OP_v1(0),dikesnet,205800000.0,1939.0135640631963,A.1,99.1003906501655,10.0,0.220145340628739,1,4,47847947,0.0,0.0,108
145,59,1.5,4,45,GEL_OP_v1(0),dikesnet,205800000.0,8118.857286652394,A.1,72.53529393308625,1.0,0.49881413319362355,1,4,47847947,0.0,0.0,108
146,35,3.5,4,46,GEL_OP_v1(0),dikesnet,205800000.0,1555.6777854719548,A.1,168.32072931388697,1.0,0.24011498065295808,1,4,47847947,0.0,0.0,108
147,111,2.5,4,47,GEL_OP_v1(0),dikesnet,205800000.0,35978.37242536642,A.1,106.43011970163093,1.0,0.7509694916490554,1,4,47847947,0.0,0.0,108
148,25,2.5,4,48,GEL_OP_v1(0),dikesnet,205800000.0,1989.0027728196046,A.1,110.27806433060556,1.0,0.30402035836466723,1,4,47847947,0.0,0.0,108
149,103,3.5,4,49,GEL_OP_v1(0),dikesnet,205800000.0,2066.293957738934,A.1,184.19458624407406,1.0,0.4298130183432511,1,4,47847947,0.0,0.0,108
150,61,4.5,4,50,GEL_OP_v1(0),dikesnet,205800000.0,2178.33940771647,A.1,188.61012027801473,1.5,0.5431611109073748,1,4,47847947,0.0,0.0,108
151,30,3.5,4,51,GEL_OP_v1(0),dikesnet,205800000.0,7914.350799526701,A.1,134.33897936608807,1.0,0.04128393604568355,1,4,47847947,7984458.148257176,0.0007344534165075116,108
152,38,2.5,4,52,GEL_OP_v1(0),dikesnet,205800000.0,1060.6361359629946,A.1,58.60949304514399,1.0,0.2171253548676285,1,4,47847947,0.0,0.0,108
153,68,3.5,4,53,GEL_OP_v1(0),dikesnet,205800000.0,10139.283304881157,A.1,116.55187840763202,1.0,0.06797096091249898,1,4,47847947,456919.68558169814,4.348331388307058e-05,108
154,120,3.5,4,54,GEL_OP_v1(0),dikesnet,205800000.0,39594.0740451148,A.1,40.50450463116637,1.0,0.970527084011078,1,4,47847947,0.0,0.0,108
155,97,3.5,4,55,GEL_OP_v1(0),dikesnet,205800000.0,10648.771225589024,A.1,178.9367327652076,1.5,0.5328711167648679,1,4,47847947,0.0,0.0,108
156,93,4.5,4,56,GEL_OP_v1(0),dikesnet,205800000.0,14206.565807315452,A.1,67.33897082103451,1.0,0.39997171935932163,1,4,47847947,0.0,0.0,108
